step,price,realized_pnl,forced_exit,exit_reason
2355,82200.0,-1019.6624981617697,False,
2356,81775.203125,-1019.6624981617697,False,
2357,82019.2578125,-1019.6624981617697,False,
2358,82158.03125,-1019.6624981617697,False,
2359,82156.71875,-1019.6624981617697,False,
2360,81595.8125,-1019.6624981617697,False,
2361,81549.9921875,-1020.736796720502,False,
2362,82036.7109375,-1020.736796720502,False,
2363,81766.046875,-1020.736796720502,False,
2364,81882.0078125,-1020.736796720502,False,
2367,81272.1875,-1023.4136331201202,False,
2368,78757.0,-1387.1578880849872,True,stop_loss
2369,79453.8203125,-1387.1578880849872,False,
2370,79328.0078125,-1387.1578880849872,False,
2371,79502.0703125,-1387.1578880849872,False,
2372,79649.34375,-1387.1578880849872,False,
2373,79931.546875,-1387.1578880849872,False,
2374,79714.5234375,-1387.1578880849872,False,
2375,79693.7734375,-1387.1578880849872,False,
2376,79607.296875,-1387.1578880849872,False,
2377,79043.4765625,-1387.1578880849872,False,
2378,80452.71875,-1386.7777234213777,False,
2379,80302.046875,-1384.2935559734997,False,
2380,80842.9921875,-1384.2935559734997,False,
2381,80888.1484375,-1384.2935559734997,False,
2382,80816.0,-1384.2935559734997,False,
2387,82706.859375,-1069.7076691708735,True,take_profit
2388,82129.671875,-1069.7076691708735,False,
2389,82115.5234375,-1069.7076691708735,False,
2390,82930.671875,-1069.7076691708735,False,
2391,81898.0,-1069.7076691708735,False,
2392,82521.7421875,-1069.7076691708735,False,
2393,82792.4609375,-1069.7076691708735,False,
2394,83930.0,-1068.7032532926673,False,
2395,83607.9921875,-1066.0469763679866,False,
2396,83858.28125,-1066.0469763679866,False,
2397,83848.0,-1066.0469763679866,False,
2398,83674.0078125,-1066.0469763679866,False,
2399,83415.34375,-1066.0469763679866,False,
2415,84827.75,-825.5466242711545,True,take_profit
2416,85008.3984375,-825.5466242711545,False,
2417,84659.1875,-825.5466242711545,False,
2418,84760.7109375,-825.5466242711545,False,
2419,85178.0078125,-825.5466242711545,False,
2420,84943.3984375,-825.5466242711545,False,
2438,83599.1328125,-971.4726374892775,True,stop_loss
2439,84093.21875,-971.4726374892775,False,
2440,83849.65625,-971.4726374892775,False,
2441,84225.96875,-971.4726374892775,False,
2442,84754.8515625,-971.4726374892775,False,
2443,84730.0,-971.4726374892775,False,
2481,85850.0,-822.8236429133807,True,take_profit
2482,85989.0,-822.8236429133807,False,
2483,85638.140625,-822.8236429133807,False,
2484,85589.2265625,-822.8236429133807,False,
2485,85819.7421875,-822.8236429133807,False,
2486,85589.4375,-822.8236429133807,False,
2487,85146.8828125,-891.4641153900903,True,stop_loss
2488,84918.140625,-891.4641153900903,False,
2489,84860.8125,-891.4641153900903,False,
2490,84483.2265625,-891.4641153900903,False,
2491,84196.0,-891.4641153900903,False,
2492,83998.5234375,-949.6706160381157,True,stop_loss
2493,84020.0078125,-949.6706160381157,False,
2494,84178.0,-949.6706160381157,False,
2495,83838.46875,-949.6706160381157,False,
2496,83643.9921875,-949.6706160381157,False,
2497,83146.0078125,-1021.0436757327612,True,stop_loss
2498,83637.7890625,-1021.0436757327612,False,
2499,83900.0,-1021.0436757327612,False,
2500,83695.65625,-1021.0436757327612,False,
2501,83587.9921875,-1021.0436757327612,False,
2502,83363.0,-1021.0436757327612,False,
2576,85217.390625,-866.2810533629071,True,take_profit
2577,85311.6328125,-866.2810533629071,False,
2578,85328.1171875,-866.2810533629071,False,
2579,85250.0,-866.2810533629071,False,
2580,85217.3984375,-866.2810533629071,False,
2581,85295.4296875,-866.2810533629071,False,
2585,84845.9296875,-919.8761479978311,True,stop_loss
2586,85239.921875,-919.8761479978311,False,
2587,85144.640625,-919.8761479978311,False,
2588,85085.546875,-919.8761479978311,False,
2589,85195.8515625,-919.8761479978311,False,
2590,85339.53125,-919.8761479978311,False,
2600,84784.0078125,-971.3308098140516,True,stop_loss
2601,84647.296875,-971.3308098140516,False,
2602,84551.140625,-971.3308098140516,False,
2603,84184.03125,-991.8321373802298,True,stop_loss
2604,84129.828125,-991.8321373802298,False,
2605,84365.5625,-991.8321373802298,False,
2606,84315.2109375,-991.8321373802298,False,
2607,84626.15625,-991.8321373802298,False,
2608,84344.65625,-991.8321373802298,False,
2613,85127.578125,-921.3894352233592,True,take_profit
2614,85009.2734375,-921.3894352233592,False,
2615,84835.28125,-921.3894352233592,False,
2616,85179.2421875,-921.3894352233592,False,
2617,86625.6796875,-827.2127756747973,True,take_profit
2618,87293.0703125,-827.2127756747973,False,
2619,87350.0078125,-827.2127756747973,False,
2620,87205.5625,-827.2127756747973,False,
2621,87351.140625,-827.2127756747973,False,
2622,87550.0,-827.2127756747973,False,
2653,88992.703125,-670.5749403451122,True,take_profit
2654,90236.15625,-670.5749403451122,False,
2655,90797.7265625,-670.5749403451122,False,
2656,90934.609375,-670.5749403451122,False,
2657,90673.1015625,-670.5749403451122,False,
2658,91396.140625,-670.5749403451122,False,
2662,93039.9921875,-459.47960529359017,True,take_profit
2663,92786.1875,-459.47960529359017,False,
2664,93442.9921875,-459.47960529359017,False,
2665,92896.9921875,-459.47960529359017,False,
2666,92640.0,-459.47960529359017,False,
2667,92868.7734375,-459.47960529359017,False,
2727,95368.0,-228.28210998341245,True,take_profit
2728,95061.21875,-228.28210998341245,False,
2729,95223.8125,-228.28210998341245,False,
2730,94527.7890625,-228.28210998341245,False,
2731,94970.1484375,-228.28210998341245,False,
2732,95291.0,-228.28210998341245,False,
2757,94087.0,-328.979895787127,True,stop_loss
2758,94355.3828125,-328.979895787127,False,
2759,94781.859375,-328.979895787127,False,
2760,94628.0,-328.979895787127,False,
2761,94870.0078125,-328.979895787127,False,
2762,94117.6015625,-328.979895787127,False,
2773,93734.859375,-417.9953963800359,True,stop_loss
2774,94060.09375,-417.9953963800359,False,
2775,93985.8984375,-417.9953963800359,False,
2776,93901.078125,-417.9953963800359,False,
2777,93881.8203125,-417.9953963800359,False,
2778,94043.78125,-417.9953963800359,False,
2785,93419.8984375,-481.2061634232951,True,stop_loss
2786,92949.9921875,-481.2061634232951,False,
2787,93621.640625,-481.2061634232951,False,
2788,93849.9296875,-481.2061634232951,False,
2789,94036.4765625,-481.2061634232951,False,
2790,94224.28125,-441.01770483358064,True,take_profit
2791,94583.9921875,-441.01770483358064,False,
2792,94692.4921875,-441.01770483358064,False,
2793,94706.390625,-441.01770483358064,False,
2794,94739.0703125,-441.01770483358064,False,
2795,95060.7734375,-441.01770483358064,False,
2800,93833.5078125,-538.9439628144198,True,stop_loss
2801,93734.0390625,-538.9439628144198,False,
2802,94100.390625,-538.9439628144198,False,
2803,94175.890625,-538.9439628144198,False,
2804,94787.203125,-538.9439628144198,False,
2805,94469.671875,-538.9439628144198,False,
2866,95520.9921875,-426.6179863527845,True,take_profit
2867,96169.0078125,-426.6179863527845,False,
2868,96180.0078125,-426.6179863527845,False,
2869,96373.203125,-426.6179863527845,False,
2870,95809.5234375,-426.6179863527845,False,
2871,96827.9921875,-426.6179863527845,False,
2895,97748.3984375,-295.7513931168482,True,take_profit
2896,97330.1875,-295.7513931168482,False,
2897,97348.6875,-295.7513931168482,False,
2898,97402.546875,-295.7513931168482,False,
2899,97171.0,-295.7513931168482,False,
2900,96924.2265625,-295.7513931168482,False,
2906,96493.9375,-375.4029721643874,True,stop_loss
2907,96533.5078125,-375.4029721643874,False,
2908,96337.5,-375.4029721643874,False,
2909,96519.046875,-375.4029721643874,False,
2910,96417.140625,-375.4029721643874,False,
2911,96183.5,-375.4029721643874,False,
2915,95896.5,-432.1454888873424,True,stop_loss
2916,95942.0234375,-432.1454888873424,False,
2917,96120.421875,-432.1454888873424,False,
2918,96330.0,-432.1454888873424,False,
2919,96380.953125,-432.1454888873424,False,
2920,96418.6796875,-432.1454888873424,False,
2939,95400.46875,-520.2833482388578,True,stop_loss
2940,95423.203125,-520.2833482388578,False,
2941,95462.2421875,-520.2833482388578,False,
2942,95369.3671875,-520.2833482388578,False,
2943,95611.0703125,-520.2833482388578,False,
2944,95467.6015625,-520.2833482388578,False,
2952,94277.6171875,-641.1771612979389,True,stop_loss
2953,94724.109375,-641.1771612979389,False,
2954,93929.0,-657.8245461211719,True,stop_loss
2955,94236.671875,-657.8245461211719,False,
2956,94031.46875,-657.8245461211719,False,
2957,94409.65625,-657.8245461211719,False,
2958,94732.7734375,-657.8245461211719,False,
2959,94761.1328125,-657.8245461211719,False,
2999,96259.9375,-495.73878043835407,True,take_profit
3000,96834.0234375,-495.73878043835407,False,
3001,97415.6484375,-495.73878043835407,False,
3002,97242.8515625,-495.73878043835407,False,
3003,96619.046875,-495.73878043835407,False,
3004,96506.8984375,-495.73878043835407,False,
3027,98681.9921875,-341.5122942508777,True,take_profit
3028,99152.7890625,-341.5122942508777,False,
3029,98954.3203125,-341.5122942508777,False,
3030,98740.609375,-341.5122942508777,False,
3031,99039.9921875,-341.5122942508777,False,
3032,99252.34375,-341.5122942508777,False,
3041,101276.4921875,-143.19134349157184,True,take_profit
3042,101027.1328125,-143.19134349157184,False,
3043,101365.3828125,-143.19134349157184,False,
3044,101299.9921875,-143.19134349157184,False,
3045,102607.796875,-143.19134349157184,False,
3046,102828.03125,-143.19134349157184,False,
3047,103017.953125,-42.86902694020888,True,take_profit
3048,103261.6015625,-42.86902694020888,False,
3049,102820.0,-42.86902694020888,False,
3050,103098.34375,-42.86902694020888,False,
3051,102595.5,-42.86902694020888,False,
3052,102451.0390625,-42.86902694020888,False,
3139,101630.59375,-163.4075310889592,True,stop_loss
3140,101860.0,-163.4075310889592,False,
3141,102678.5078125,-163.4075310889592,False,
3142,102510.1015625,-163.4075310889592,False,
3143,102856.3828125,-163.4075310889592,False,
3144,102791.3203125,-163.4075310889592,False,
3162,104268.171875,-16.007997454652866,True,take_profit
3163,104354.1875,-16.007997454652866,False,
3164,104792.21875,-16.007997454652866,False,
3165,104562.390625,-16.007997454652866,False,
3166,104342.7109375,-16.007997454652866,False,
3167,104128.5,-16.007997454652866,False,
3177,103200.0,-136.91468797607976,True,stop_loss
3178,103485.7265625,-136.91468797607976,False,
3179,103708.4921875,-136.91468797607976,False,
3180,103944.9296875,-136.91468797607976,False,
3181,103999.9921875,-136.91468797607976,False,
3182,103970.8671875,-136.91468797607976,False,
3198,102375.3125,-275.6706885396098,True,stop_loss
3199,102247.3984375,-275.6706885396098,False,
3200,101779.9921875,-275.6706885396098,False,
3201,102274.6484375,-275.6706885396098,False,
3202,101823.390625,-275.6706885396098,False,
3203,101804.7421875,-275.6706885396098,False,
3209,103846.2734375,-117.930170518165,True,take_profit
3210,103968.2421875,-117.930170518165,False,
3211,102697.3125,-142.52301758156207,True,stop_loss
3212,103157.2578125,-142.52301758156207,False,
3213,103443.5078125,-142.52301758156207,False,
3214,103288.75,-142.52301758156207,False,
3215,103492.0625,-142.52301758156207,False,
3216,103763.7109375,-142.52301758156207,False,
3280,105518.0,35.4140987484229,True,take_profit
3281,105822.21875,35.4140987484229,False,
3282,104836.671875,15.941661149591653,True,stop_loss
3283,104498.0,15.941661149591653,False,
3284,103883.96875,15.941661149591653,False,
3285,104053.046875,15.941661149591653,False,
3286,104180.3828125,15.941661149591653,False,
3287,105928.1015625,15.941661149591653,False,
3288,106454.2578125,182.2812117891411,True,take_profit
3289,105260.8828125,182.2812117891411,False,
3290,105059.96875,182.2812117891411,False,
3291,104645.1484375,182.2812117891411,False,
3292,103605.8828125,100.82102369752988,True,stop_loss
3293,103002.0703125,100.82102369752988,False,
3294,103032.0078125,100.82102369752988,False,
3295,102208.0,100.82102369752988,False,
3296,103226.2890625,100.82102369752988,False,
3297,103233.8984375,100.82102369752988,False,
3308,105517.703125,329.02733880091586,True,take_profit
3309,105468.0,329.02733880091586,False,
3310,105474.671875,329.02733880091586,False,
3311,105549.921875,329.02733880091586,False,
3312,105573.7421875,329.02733880091586,False,
3313,105727.2734375,329.02733880091586,False,
3351,108999.9921875,635.6160018956948,True,take_profit
3352,108973.3515625,635.6160018956948,False,
3353,109131.703125,635.6160018956948,False,
3354,106592.7890625,541.4165610558974,True,stop_loss
3355,106965.046875,541.4165610558974,False,
3356,108603.7890625,541.4165610558974,False,
3357,108238.09375,541.4165610558974,False,
3358,108414.640625,541.4165610558974,False,
3359,108739.359375,541.4165610558974,False,
3360,109643.9921875,541.4165610558974,False,
3361,109954.53125,546.381106757425,False,
3362,109920.6796875,546.381106757425,False,
3363,110471.5078125,733.8863128022174,True,take_profit
3364,111780.84375,733.8863128022174,False,
3365,111482.421875,733.8863128022174,False,
3366,110879.9921875,733.8863128022174,False,
3367,110606.0703125,733.8863128022174,False,
3368,111045.453125,733.8863128022174,False,
3369,110409.09375,733.8863128022174,False,
3396,109076.3515625,536.0887855020321,True,stop_loss
3397,108412.7734375,536.0887855020321,False,
3398,109634.9921875,536.0887855020321,False,
3399,109672.0078125,536.0887855020321,False,
3400,108940.0,536.0887855020321,False,
3401,109068.8671875,536.0887855020321,False,
3441,107109.40625,342.21987427506406,True,stop_loss
3442,107131.671875,342.21987427506406,False,
3443,106946.3984375,342.21987427506406,False,
3444,107260.0,342.21987427506406,False,
3445,107530.5703125,342.21987427506406,False,
3446,107521.75,342.21987427506406,False,
3455,109166.0,502.793088088603,True,take_profit
3456,109004.1875,502.793088088603,False,
3457,109540.4609375,502.793088088603,False,
3458,109545.4609375,502.793088088603,False,
3459,109387.71875,502.793088088603,False,
3460,109623.53125,502.793088088603,False,
3518,108068.453125,371.67259093805615,True,stop_loss
3519,107522.71875,371.67259093805615,False,
3520,107107.3125,371.67259093805615,False,
3521,107420.0,371.67259093805615,False,
3522,107679.0078125,371.67259093805615,False,
3523,107476.546875,371.67259093805615,False,
3546,106303.6015625,259.53489327573357,True,stop_loss
3547,105837.1328125,259.53489327573357,False,
3548,105731.7421875,259.53489327573357,False,
3549,106180.0,259.53489327573357,False,
3550,106443.0078125,259.53489327573357,False,
3551,105929.0703125,259.53489327573357,False,
3569,103898.75,58.40498104053691,True,stop_loss
3570,104183.1484375,58.40498104053691,False,
3571,104891.9921875,58.40498104053691,False,
3572,104640.5,58.40498104053691,False,
3573,104580.0,58.40498104053691,False,
3574,104631.59375,58.40498104053691,False,
3650,106481.75,218.63808120932242,True,take_profit
