step_return,sharpe_reward,drawdown_penalty,overtrade_penalty,total_reward
-0.00019995002498750518,-0.003364520563896952,0.00033337673726188184,0.0002,-0.0010697788186390823
0.00018999971240344428,-0.003052611550386214,0.00031444010750573915,7.401102563077994e-05,-0.0005037125757716962
0.00012826746534676123,-0.0028340576454659585,0.00030165369340665613,8.445288654956329e-05,-0.000541244879156054
-0.0004932250023798789,-0.003459190127406627,0.00035082741050099567,5.0281549698181744e-05,-0.0012402529753197191
-3.495307761122381e-05,-0.0034583113022341417,0.00035431045576441063,8.272572890152021e-05,-0.0008178203925005689
8.10768856743146e-05,-0.003305163242509029,0.0003462314935852944,0.0002,-0.0007956709321618827
0.0010790632650848307,-0.001861582342507204,0.00023869877276275466,9.701564693910692e-05,0.0005571906111322487
1.4446000605449749e-05,-0.0018186907759072425,0.00023725762094482556,4.251688349899185e-05,-0.0004471975814290919
0.0005859305996785511,-0.0010567825162206054,0.00017880357747708894,0.0002,0.0001014487705794016
0.00015949352036741723,-0.0008450165169980454,0.00016288274345237333,0.0002,-0.00028789087478476064
-0.001782409372097329,-0.0030119371420117926,0.0003408333569336238,0.0002,-0.002624436443232132
-0.0006548174537781959,-0.003764015048102041,0.0004060919186804934,9.2276514413449e-05,-0.0015295873916823424
0.00019899315591480544,-0.0034802190423019346,0.0003862734126015026,8.799250307016366e-06,-0.0005441014112239071
-0.00238669603101123,-0.006218415998870517,0.0006240210984818844,0.00017482137549010572,-0.0038073801048702713
-0.00019995002498745667,-0.006375492868642177,0.0006438913279463959,0.0002,-0.0016813906397980705
-0.002803439089947787,-0.009450522238449433,0.0009224301268227313,0.00019994002798860483,-0.004870861468604067
-0.00019995002498741175,-0.009565175788205796,0.0009422406893945652,0.0002,-0.002298708293202557
0.0006565636871909031,-0.008721589894890403,0.0008772029616967251,3.5455031000920044e-05,-0.0011282532949957824
0.0008997264660244155,-0.0076286476728459765,0.000788019557814997,0.0001582714370489777,-0.000809429296124157
0.0012713468508043677,-0.00615513316165454,0.0006618867189177607,0.0002,-0.00020605318427884697
-0.00019204784802365134,-0.00629248331987601,0.0006809643898001222,0.0002,-0.0017022605698113749
8.224446595386573e-06,-0.006214640620462766,0.0006801475456958408,0.00018550635997390425,-0.0014788935211206351
0.00046176776998094757,-0.005661979900993761,0.00063428483891318,0.0002,-0.0009387150590316085
-0.0003735977773694039,-0.005988076229799504,0.0006714076492440834,0.0002,-0.0018438130495934378
-1.5032664812528338e-05,-0.005939868189473046,0.0006729008226791925,0.0001792910306245249,-0.0014612113370635503
0.0,-0.0058774223549881805,0.0006729008226791925,0.0,-0.0012606430581780107
-0.00011121949572664819,-0.005927994154616482,0.0006839479325616848,0.00011124729365110398,-0.0014992141374010853
-0.00023458996945956438,-0.006100049478629138,0.0007072464821830297,0.00011120406586233085,-0.001663045465367839
0.0,-0.006037912965031436,0.0007072464821830297,0.0,-0.0013110377786861734
-8.825232448803386e-05,-0.006063006646863858,0.0007160092984857945,8.827438205480576e-05,-0.00149883666971502
-6.704817857651454e-05,-0.006067167222837497,0.0007226661092241387,7.273317239511437e-05,-0.0014691641824795174
-2.685364110138133e-06,-0.006009793689797116,0.0007229327050135192,1.55060093390911e-05,-0.00134210344744246
0.0,-0.005951012717671941,0.0007229327050135192,0.0,-0.0013180339767807133
0.0,-0.0058933801743258005,0.0007229327050135192,0.0,-0.0013122707224460994
0.0,-0.0058933801743258,0.0007229327050135192,0.0,-0.0013122707224460992
0.0,-0.0058933801743258,0.0007229327050135192,0.0,-0.0013122707224460992
-1.4717279326005602e-05,-0.005868225435184687,0.0007243937933435661,1.4720957726240158e-05,-0.0013406545739142806
5.909643521650369e-06,-0.005690118146376749,0.000723807109900489,1.4713817473138975e-05,-0.0013016230984896526
0.0,-0.004024920242754673,0.000723807109900489,0.0,-0.0011262991341759562
0.0,-0.003942768283465346,0.000723807109900489,0.0,-0.0011180839382470237
0.0,-0.003107440900947381,0.000723807109900489,0.0,-0.001034551199995227
0.0,-0.0030312268555059436,0.000723807109900489,0.0,-0.0010269297954510835
0.0,-0.0028524323959693743,0.000723807109900489,0.0,-0.0010090503494974265
