step,price_BTC,price_ETH,capital,cash,drawdown,realized_pnl,unrealized_pnl,reward,weights,forced_exit,exit_reason
103,99512.2109375,3666.219970703125,10144.2030699867,5245.2172617214865,0.0004592118940151465,166.02777812627505,-4.240504954253719,-0.044083740816501196,"[np.float64(0.40015334170008887), np.float64(0.08278117513343866)]",False,
104,99318.703125,3650.75,10129.671753182778,2148.2924388764395,0.0018910290362983652,166.02777812627505,-17.224133191036024,-0.1408797789234145,"[np.float64(0.5051533620239844), np.float64(0.28276746194531766)]",False,
105,99043.4921875,3640.89990234375,10105.61764453931,-1.1368683772161603e-13,0.004261157329748457,166.02777812627505,-40.20463241977275,-0.23232885603319742,"[np.float64(0.6289504718269837), np.float64(0.37104952817301634)]",False,
106,98999.9921875,3644.75,10106.791245403512,-1.1368683772161603e-13,0.004145518681287547,166.02777812627505,-39.03103155557129,0.012308761121543308,"[np.float64(0.6286012344871919), np.float64(0.37139876551280815)]",False,
107,98767.9609375,3637.8701171875,10076.463698766605,4315.019891359708,0.00713378889410128,118.12439740172455,-17.279712929454686,-0.29184956771476905,"[np.float64(0.0), np.float64(0.5717723975041084)]",True,stop_loss
108,99259.9921875,3654.52001953125,10098.804159307629,283.1638286538587,0.0049325118315498954,118.12439740172455,7.075668182635785,0.21860592955607194,"[np.float64(0.19997980527895956), np.float64(0.7719808522219704)]",False,
109,99157.1171875,3642.52001953125,10070.828842508694,0.0,0.007689009311717007,118.12439740172455,-20.75813745755024,-0.2702169739496541,"[np.float64(0.22841661746816588), np.float64(0.7715833825318342)]",False,
110,99492.5078125,3651.030029296875,10096.763726598067,0.0,0.005133562195439701,118.12439740172455,5.1767466318214534,0.2524994689335183,"[np.float64(0.2286005144332252), np.float64(0.7713994855667747)]",False,
111,100737.03125,3685.469970703125,10194.724100969499,288.3406234748004,0.0,150.36411095523414,73.0879704536768,0.7508269069038911,"[np.float64(0.0), np.float64(0.9717166820191456)]",True,take_profit
112,102147.953125,3714.449951171875,10272.332917698806,-5.684341886080802e-14,0.0,150.36411095523414,150.84088544558963,0.6449190355597494,"[np.float64(0.02804158622952472), np.float64(0.9719584137704752)]",False,
113,102158.671875,3710.179931640625,10260.88551672878,-5.684341886080802e-14,0.001114391546861058,150.36411095523414,139.39348447556438,-0.1081376992141729,"[np.float64(0.02807581618567235), np.float64(0.9719241838143277)]",False,
114,101831.953125,3673.8701171875,10162.364978106973,-5.684341886080802e-14,0.010705254636204748,150.36411095523414,40.8729458537558,-0.7437285351907407,"[np.float64(0.02825734014726586), np.float64(0.9717426598527342)]",False,
115,101738.796875,3682.219970703125,10184.546325981464,-5.684341886080802e-14,0.008545925489436727,150.36411095523414,63.05429372824907,0.21600771623136344,"[np.float64(0.028170003688166384), np.float64(0.9718299963118336)]",False,
116,101817.21875,3687.43994140625,10198.798526955976,-5.684341886080802e-14,0.007158489832054974,150.36411095523414,77.30649470275871,0.1403611455900874,"[np.float64(0.028152321361313556), np.float64(0.9718476786386864)]",False,
117,102127.3828125,3683.489990234375,10189.055877806597,-5.684341886080802e-14,0.008106925715844591,150.36411095523414,67.56384555338164,-0.09414173673784859,"[np.float64(0.02826508220317935), np.float64(0.9717349177968208)]",False,
118,101611.921875,3667.159912109375,10143.707759853609,-5.684341886080802e-14,0.012521513747240573,150.36411095523414,22.215727600392068,-0.41770785884680806,"[np.float64(0.02824814483122234), np.float64(0.9717518551687776)]",False,
119,102011.9765625,3678.52001953125,10175.371371762887,-5.684341886080802e-14,0.00943909691330764,150.36411095523414,53.87933950967141,0.30327776638350684,"[np.float64(0.02827111180072002), np.float64(0.97172888819928)]",False,
120,102235.6015625,3687.449951171875,10200.00525297683,-5.684341886080802e-14,0.007041016417736799,150.36411095523414,78.51322072361474,0.2387573021641883,"[np.float64(0.028264659349160743), np.float64(0.9717353406508393)]",False,
121,102042.4609375,3675.139892578125,10166.371701606156,-5.684341886080802e-14,0.010315204631859537,150.36411095523414,44.879669352940866,-0.3177676953918396,"[np.float64(0.028304594268260663), np.float64(0.9716954057317394)]",False,
122,101915.65625,3694.550048828125,10217.895778956834,0.0,0.005299393933015881,149.88469197760332,97.02916435351581,0.4691611622088985,"[np.float64(0.013824049241694239), np.float64(0.9861759507583057)]",False,
123,101677.65625,3678.070068359375,10172.336285663174,0.0,0.009734559114935072,149.09162112217183,52.40352388807527,-0.41772158877140847,"[np.float64(0.0), np.float64(1.0)]",False,
124,101708.078125,3682.25,10183.896606567689,0.0,0.008609174940070874,149.09162112217183,63.96384479258905,0.11417335773110858,"[np.float64(0.0), np.float64(1.0)]",False,
125,101667.0234375,3673.52001953125,10159.752341927562,0.0,0.010959591815533206,149.09162112217183,39.81958015246268,-0.23241482314025885,"[np.float64(0.0), np.float64(1.0)]",False,
126,101743.46875,3669.3798828125,10148.30208073378,0.0,0.012074261801944378,149.09162112217183,28.369318958680505,-0.11201541244582655,"[np.float64(0.0), np.float64(1.0)]",False,
127,101820.53125,3672.60009765625,10157.208139534698,0.0,0.0112072670430836,149.09162112217183,37.27537775959965,0.08777201010891038,"[np.float64(0.0), np.float64(1.0)]",False,
128,101664.8125,3667.77001953125,10143.849726546268,0.0,0.012507693450157436,149.09162112217183,23.916964771170207,-0.13080095386119464,"[np.float64(0.0), np.float64(1.0)]",False,
129,101905.078125,3674.6298828125,10162.82185999496,0.0,0.01066077770076588,149.09162112217183,42.88909821986059,0.18518992588095043,"[np.float64(0.0), np.float64(1.0)]",False,
130,101723.1875,3661.090087890625,10125.375225041193,0.0,0.014306165292249406,149.09162112217183,5.442463266094488,-0.35307283882092444,"[np.float64(0.0), np.float64(1.0)]",False,
131,101406.78125,3657.610107421875,10115.750739662248,0.0,0.015243098066533064,149.09162112217183,-4.182022112851796,-0.09520126749536575,"[np.float64(0.0), np.float64(1.0)]",False,
132,100830.859375,3639.27001953125,10065.028067699863,0.0,0.020180892856555097,149.09162112217183,-54.90469407523596,-0.46482417086630895,"[np.float64(0.0), np.float64(1.0)]",False,
133,100750.890625,3633.419921875,10048.848615009369,0.0,0.021755944290355263,149.09162112217183,-71.08414676573062,-0.16109529537225006,"[np.float64(0.0), np.float64(1.0)]",False,
134,100636.796875,3636.0,10055.984265457291,0.0,0.0210612967837866,149.09162112217183,-63.94849631780692,0.06929772978254187,"[np.float64(0.0), np.float64(1.0)]",False,
135,99979.6875,3568.75,9858.151749576651,7885.139586276841,0.040320068619323864,-105.78346479699235,-0.9863981606257662,-0.9680359347580252,"[np.float64(0.20014016961998365), np.float64(0.0)]",True,stop_loss
136,97952.2578125,3462.639892578125,9814.246589906701,7851.5994085157145,0.044594186292662055,-147.74593409408516,-0.981256268572427,-0.4244627226736794,"[np.float64(0.0), np.float64(0.19997940375876003)]",True,stop_loss
137,97733.578125,3458.06005859375,9807.751106922973,6652.700706339297,0.04522651422009288,-147.74593409408516,-5.527127256190473,-0.07238208806648215,"[np.float64(-0.09188741628761586), np.float64(0.32182731704324713)]",False,
138,97277.3125,3442.550048828125,9804.899615726992,6251.748235383336,0.04550410366533642,-147.74593409408516,-7.720561257364178,-0.03525308131594579,"[np.float64(-0.12263539043571282), np.float64(0.36128259533058515)]",False,
139,96750.859375,3421.820068359375,9799.270423781152,6510.167989429889,0.04605209913928967,-121.94730710976242,-37.23770765350702,-0.06370108842924935,"[np.float64(0.0), np.float64(0.33564768519594845)]",True,take_profit
140,96451.9765625,3385.669921875,9758.798887987838,9760.034165145209,0.049991957408834636,-195.56026499642584,-1.2352771573709098,-0.3983527382567955,"[np.float64(-0.08438623533398824), np.float64(0.0)]",True,stop_loss
141,96533.3515625,3396.6201171875,9754.769343209236,8802.82357783902,0.05038422903893907,-195.56026499642584,-4.292210129593981,-0.048365062015688146,"[np.float64(-0.11830416780682232), np.float64(0.09797875079494732)]",False,
142,96501.21875,3363.320068359375,9745.830709513104,9079.99404273195,0.05125439492703364,-198.58849420458878,-9.842254919930598,-0.09852888400980137,"[np.float64(-0.13353906849211947), np.float64(0.06861603912601114)]",False,
143,97164.0,3396.699951171875,9720.794211223178,8119.791793460107,0.05369166973992347,-230.25305196655734,-0.7845772176705165,-0.25914920698565597,"[np.float64(0.0), np.float64(0.1646987255336222)]",True,stop_loss
144,96954.609375,3381.31005859375,9709.822555785317,6867.07968500985,0.05475974799690415,-230.25305196655734,-9.897446266419294,-0.12030913067883313,"[np.float64(-0.0847236016174155), np.float64(0.29289688995354207)]",False,
145,97268.4921875,3411.7099609375,9725.134898848799,5767.085074511451,0.05326910870530761,-230.25305196655734,6.548316466188766,0.1488351939545168,"[np.float64(-0.12491705481251185), np.float64(0.40800028890921886)]",False,
146,96907.1484375,3391.320068359375,9713.329295016667,4743.0028620791145,0.05441837089596261,-230.25305196655734,-4.4417499469197645,-0.1285266392504466,"[np.float64(-0.145472909879485), np.float64(0.5113488225258987)]",False,
147,96878.140625,3382.89990234375,9701.47446383184,3950.7640862674493,0.055572425313766854,-230.25305196655734,-15.900659704554474,-0.12932591387839154,"[np.float64(-0.145607073706953), np.float64(0.5922826014060433)]",False,
148,96525.203125,3360.31005859375,9677.967059934452,4100.804026785597,0.05786084451568803,-231.88208953702497,-37.49096013920639,-0.24588613499205791,"[np.float64(-0.16010207843216098), np.float64(0.5742157808423067)]",False,
149,96274.8125,3348.1201171875,9669.54694895316,4419.215423728763,0.058680532803514415,-236.50672824951755,-41.12714706686395,-0.09512870231388385,"[np.float64(-0.1598258196757737), np.float64(0.5396686948270966)]",False,
150,96492.0078125,3351.409912109375,9663.949661996256,4684.216049147175,0.05922542236285308,-240.09159185233153,-43.00700382494621,-0.06620923867988542,"[np.float64(-0.16027916437153727), np.float64(0.5130628335808196)]",False,
151,95284.3125,3308.77001953125,9649.54189395826,9649.54189395826,0.06062800229804697,-292.7645603731309,0.0,-0.1573106546226295,"[np.float64(0.0), np.float64(0.0)]",True,take_profit
152,95657.09375,3354.590087890625,9645.404746177875,8041.230222067783,0.06103074895876471,-292.7645603731309,-2.0686724132234797,-0.05179439319360504,"[np.float64(-0.08750189269797086), np.float64(0.16644615150403513)]",False,
153,95945.9921875,3366.139892578125,9640.81446316812,6738.24048948581,0.061477607821939395,-292.7645603731309,-5.423490335338648,-0.0563615530442208,"[np.float64(-0.1282526938016652), np.float64(0.302056617234498)]",False,
154,95432.8203125,3347.47998046875,9643.762595831671,6595.107603997122,0.06119061043904977,-292.7645603731309,-2.1009936530396818,0.02185575029802144,"[np.float64(-0.14848333630921284), np.float64(0.31508616418536267)]",False,
155,95961.0234375,3362.449951171875,9632.34749886637,5366.877475913048,0.06230185722756011,-292.7645603731309,-12.902282458377563,-0.12687739176372143,"[np.float64(-0.14948210277268087), np.float64(0.4442538787300998)]",False,
156,95134.921875,3349.7900390625,9651.865705554643,4180.150692883286,0.06040178186545377,-292.7645603731309,7.3942141544006414,0.19120491008640358,"[np.float64(-0.16070196332616998), np.float64(0.5644972865659859)]",False,
157,94888.0078125,3339.6201171875,9641.433032110568,5536.0766764542195,0.06141739083448354,-268.3231761315179,-24.49516581337037,-0.11648882995190006,"[np.float64(0.0), np.float64(0.4258035441395024)]",True,take_profit
158,95384.0,3358.25,9660.877772096446,6502.954377300724,0.05952446737282512,-269.18184874917233,-2.4638596819614262,0.19066203685833708,"[np.float64(-0.08585920173374394), np.float64(0.32700627920362096)]",False,
159,95288.0078125,3369.530029296875,9672.635316727454,6216.865923967421,0.05837988369108427,-269.18184874917233,9.97260943407895,0.11307939013220403,"[np.float64(-0.12264487497661478), np.float64(0.35719799458735446)]",False,
160,95493.7734375,3346.72998046875,9640.514926057353,6626.760555953549,0.061506767421143194,-272.66504548812975,-18.136245094143256,-0.32914962424814387,"[np.float64(-0.10103985650731036), np.float64(0.3132050855790394)]",False,
161,94787.8671875,3314.030029296875,9631.493118773475,6631.782844642456,0.06238503016400405,-267.0820231729614,-32.18034106692808,-0.10255992854779859,"[np.float64(-0.061593782718407965), np.float64(0.31043535963874375)]",False,
162,94030.8203125,3263.06005859375,9595.012361742109,9595.012361742109,0.0659363906313533,-333.38867769284457,0.0,-0.3719697530654275,"[np.float64(0.0), np.float64(0.0)]",True,take_profit
163,94242.609375,3282.830078125,9592.93372857552,9455.094270737298,0.06613874322090071,-333.38867769284457,-1.0395785968666915,-0.03169350986444239,"[np.float64(-0.06741768938553049), np.float64(0.014469987803713232)]",False,
164,94243.890625,3280.679931640625,9592.68696574515,9325.519555469571,0.06616276530355189,-333.38867769284457,-1.221586447090355,-0.012114362480191184,"[np.float64(-0.0674203402246502), np.float64(0.02795504168116173)]",False,
165,93980.0,3285.679931640625,9595.136958454057,8257.942029630276,0.06592426128226125,-329.88409004690357,-0.5799583503811923,0.01566755303261851,"[np.float64(0.13156523772583295), np.float64(0.007796496725034726)]",False,
166,94468.96875,3299.35009765625,9601.868579648539,8405.526356233928,0.06526894556689115,-329.26677394546687,5.6081758205065855,0.060254958389849726,"[np.float64(0.11677128441339751), np.float64(0.007823445611370435)]",False,
167,95290.9296875,3333.139892578125,9610.864450951341,9136.745755480013,0.06439320766247576,-314.8309282536113,0.9326221202281758,0.08375135731396212,"[np.float64(0.0), np.float64(0.049331534940584516)]",True,stop_loss
168,95060.609375,3327.2900390625,9606.624272002813,7705.865769199908,0.06480598429096907,-314.8309282536113,-1.603583806616359,-0.05400737868690632,"[np.float64(-0.06869426323979294), np.float64(0.19796219240066695)]",False,
169,95135.296875,3342.199951171875,9611.326145127905,8124.423046960288,0.06434826225618272,-316.57634149832023,5.9762188296797,0.03866950297128154,"[np.float64(-0.004861586123896428), np.float64(0.15472195628360116)]",False,
170,94983.8203125,3345.9599609375,9609.737330210108,6702.880634767229,0.06450293159279073,-316.57634149832023,6.129844707573991,-0.026788844448625653,"[np.float64(-0.07652204845495943), np.float64(0.302593770092862)]",False,
171,94776.9921875,3341.179931640625,9606.748497806515,6259.859963687342,0.06479389104937563,-313.60409601152406,1.9884010707359128,-0.0414530238769925,"[np.float64(0.09784142277425993), np.float64(0.2505478928077353)]",False,
