step,forced_exit,exit_reason,raw_action_BTC,target_weight_BTC,position_weight_BTC,risk_multiplier_BTC,raw_action_ETH,target_weight_ETH,position_weight_ETH,risk_multiplier_ETH
63,False,,0.5909952521324158,0.7961467551840569,0.7006491291178489,1.0,0.6476364135742188,0.8231690776692604,0.699350870882151,1.0
64,False,,0.35689979791641235,0.6797385538044053,0.6797385538044053,1.0,0.9896966218948364,0.9935596561012192,0.698711345153801,1.0
65,False,,0.3955344259738922,0.7001062137482477,0.7001062137482477,1.0,0.826462984085083,0.91089249128124,0.6976609992386984,1.0
66,False,,-0.07993727922439575,0.4615022345560367,0.4615022345560367,1.0,0.9352445602416992,0.9661514059526151,0.6985291258317654,1.0
67,False,,-0.08882679045200348,0.41712571649693286,0.41712571649693286,1.0,1.0,1.0,0.7384608882770654,1.0
68,False,,0.5795362591743469,0.7069311241806407,0.6171629945934674,1.0,0.42209938168525696,0.7938866962491612,0.7828370054065328,1.0
69,False,,0.8606791496276855,0.8477146396523716,0.6173750648385289,1.0,0.3882225453853607,0.7767362078541515,0.7767362078541515,1.0
70,False,,-0.17211565375328064,0.3304308676608984,0.3304308676608984,1.0,1.0,1.0,0.7835113054624614,1.0
71,False,,0.9686517715454102,0.8148132946894029,0.5304874089166978,1.0,0.3860154449939728,0.8625203135802887,0.8625203135802887,1.0
72,False,,1.0,0.8304909631608405,0.5304909631608405,1.0,0.004400588572025299,0.6717093311251722,0.6717093311251722,1.0
73,False,,0.6079505085945129,0.6342176332380114,0.530242378940755,1.0,0.6058696508407593,0.9726924464796246,0.869757621059245,1.0
74,False,,0.9238831996917725,0.7925780175126398,0.5306364176667536,1.0,0.273208886384964,0.8059680255257284,0.8059680255257284,1.0
75,False,,-0.016704944893717766,0.3228912732451514,0.3228912732451514,1.0,0.9636302590370178,1.0,0.8687562543079899,1.0
76,False,,0.3416116237640381,0.5020022662735792,0.5020022662735792,1.0,0.87333083152771,1.0,0.86880354560844,1.0
77,False,,0.6019619703292847,0.6323086308416055,0.5313276456769631,1.0,0.49878984689712524,0.9180672777715995,0.8686723543230368,1.0
78,False,,0.10305291414260864,0.3828401100874067,0.3828401100874067,1.0,0.9494654536247253,1.0,0.8686863469838977,1.0
79,False,,-0.5796247720718384,0.04221443943939046,0.13202682547530964,1.0,1.0,1.0,0.8679731745246906,1.0
80,False,,0.20852263271808624,0.23634087111789762,0.23634087111789762,1.0,0.9226070642471313,1.0,1.0,1.0
81,False,,0.29917681217193604,0.28169217202703534,0.28169217202703534,1.0,0.898395299911499,1.0,1.0,1.0
82,False,,0.42824041843414307,0.3461125415291647,0.33199233231209324,1.0,0.8059598207473755,1.0,1.0,1.0
83,False,,0.09413689374923706,0.17915043796561889,0.17915043796561889,1.0,0.9640585780143738,1.0,1.0,1.0
84,False,,0.08909788727760315,0.1765355452514416,0.1765355452514416,1.0,0.9366793632507324,1.0,1.0,1.0
85,False,,0.8085300922393799,0.5362074033140352,0.3319423571943452,1.0,0.5050140619277954,1.0,1.0,1.0
86,False,,1.0,0.632073560857216,0.33207356085721607,1.0,0.1884828805923462,0.9621678794389571,0.9621678794389571,1.0
87,False,,1.0,0.6319616398796767,0.33196163987967675,1.0,-0.00419829785823822,0.8659392111912041,0.8659392111912041,1.0
88,False,,1.0,0.6318872969542246,0.3318872969542247,1.0,0.20901140570640564,0.9726184058989783,0.9726184058989783,1.0
89,False,,0.6083550453186035,0.43606321794720687,0.3318856952879051,1.0,0.6429824233055115,1.0,1.0,1.0
90,False,,1.0,0.6319431100158139,0.331943110015814,1.0,0.007118441164493561,0.8716161105664328,0.8716161105664328,1.0
91,False,,0.7195505499839783,0.49136926616663185,0.3315939911746427,1.0,0.6150115728378296,1.0,1.0,1.0
92,False,,0.851077139377594,0.5572594580527861,0.33172088836398916,1.0,0.5456839799880981,1.0,1.0,1.0
93,False,,0.21017777919769287,0.23677612289172223,0.23677612289172223,1.0,0.9196483492851257,1.0,1.0,1.0
94,False,,1.0,0.6319790735802604,0.33197907358026035,1.0,0.09010099619626999,0.9130714245178747,0.9130714245178747,1.0
95,False,,0.2923646867275238,0.27810733947606037,0.27810733947606037,1.0,0.7373096346855164,1.0,1.0,1.0
96,False,,1.0,0.6321666385464899,0.33216663854648987,1.0,0.24362173676490784,0.9896442298359641,0.9896442298359641,1.0
97,False,,0.4012361168861389,0.3326926483539862,0.33207458991091676,1.0,0.6737887859344482,1.0,1.0,1.0
