2026-07-22 23:52:59.305 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40388.11
2026-07-22 23:52:59.307 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40313.35
2026-07-22 23:52:59.309 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40396.69
2026-07-22 23:52:59.312 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40426.00
2026-07-22 23:52:59.315 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40467.48
2026-07-22 23:52:59.317 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40551.90
2026-07-22 23:52:59.319 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40560.00
2026-07-22 23:52:59.322 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40579.99
2026-07-22 23:52:59.324 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40522.34
2026-07-22 23:52:59.326 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40434.12
2026-07-22 23:52:59.329 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40539.47
2026-07-22 23:52:59.331 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40456.82
2026-07-22 23:52:59.334 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40419.52
2026-07-22 23:52:59.336 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40393.77
2026-07-22 23:52:59.338 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40369.99
2026-07-22 23:52:59.340 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40328.79
2026-07-22 23:52:59.342 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40413.91
2026-07-22 23:52:59.345 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40416.95
2026-07-22 23:52:59.347 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40449.11
2026-07-22 23:52:59.349 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40438.15
2026-07-22 23:52:59.351 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40493.32
2026-07-22 23:52:59.354 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40062.68
2026-07-22 23:52:59.356 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40203.33
2026-07-22 23:52:59.358 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40153.00
2026-07-22 23:52:59.361 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40183.90
2026-07-22 23:52:59.363 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40210.00
2026-07-22 23:52:59.365 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40280.00
2026-07-22 23:52:59.367 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40485.28
2026-07-22 23:52:59.369 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40405.86
2026-07-22 23:52:59.372 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40378.71
2026-07-22 23:52:59.374 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40374.13
2026-07-22 23:52:59.377 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40387.43
2026-07-22 23:52:59.379 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40166.93
2026-07-22 23:52:59.381 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40230.86
2026-07-22 23:52:59.384 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40282.58
2026-07-22 23:52:59.386 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40364.48
2026-07-22 23:52:59.389 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40323.16
2026-07-22 23:52:59.392 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40285.15
2026-07-22 23:52:59.394 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40390.16
2026-07-22 23:52:59.397 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40419.82
2026-07-22 23:52:59.399 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40412.88
2026-07-22 23:52:59.401 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40464.77
2026-07-22 23:52:59.404 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40421.72
2026-07-22 23:52:59.408 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40306.56
2026-07-22 23:52:59.411 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40359.19
2026-07-22 23:52:59.413 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40445.30
2026-07-22 23:52:59.415 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40200.01
2026-07-22 23:52:59.417 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40101.72
2026-07-22 23:52:59.419 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40119.99
2026-07-22 23:52:59.421 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40370.46
2026-07-22 23:52:59.423 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40263.19
2026-07-22 23:52:59.425 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40208.14
2026-07-22 23:52:59.427 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40000.00
2026-07-22 23:52:59.429 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=39678.12
2026-07-22 23:52:59.432 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=39732.92
2026-07-22 23:52:59.434 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=39752.13
2026-07-22 23:52:59.436 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=39796.91
2026-07-22 23:52:59.438 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=39813.17
2026-07-22 23:52:59.440 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=38819.06
2026-07-22 23:52:59.442 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=38922.21
2026-07-22 23:52:59.444 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=38980.39
2026-07-22 23:52:59.446 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=38919.85
2026-07-22 23:52:59.448 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=38874.87
2026-07-22 23:52:59.450 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=38976.39
2026-07-22 23:52:59.452 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=38923.98
2026-07-22 23:52:59.454 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=38998.54
2026-07-22 23:52:59.456 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=39400.02
2026-07-22 23:52:59.458 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=39326.13
2026-07-22 23:52:59.460 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=39340.00
2026-07-22 23:52:59.462 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=39254.50
2026-07-22 23:52:59.464 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=39464.46
2026-07-22 23:52:59.466 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40211.03
2026-07-22 23:52:59.468 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40646.01
2026-07-22 23:52:59.470 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40680.68
2026-07-22 23:52:59.472 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40664.26
2026-07-22 23:52:59.474 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40801.30
2026-07-22 23:52:59.476 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40923.74
2026-07-22 23:52:59.478 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40801.13
2026-07-22 23:52:59.480 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40880.79
2026-07-22 23:52:59.482 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40750.05
2026-07-22 23:52:59.485 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40611.00
2026-07-22 23:52:59.487 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40693.79
2026-07-22 23:52:59.489 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40864.27
2026-07-22 23:52:59.491 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40660.96
2026-07-22 23:52:59.493 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40711.60
2026-07-22 23:52:59.495 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40683.14
2026-07-22 23:52:59.497 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40725.91
2026-07-22 23:52:59.499 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40665.40
2026-07-22 23:52:59.501 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40795.62
2026-07-22 23:52:59.503 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40687.30
2026-07-22 23:52:59.505 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=40975.11
2026-07-22 23:52:59.507 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=41451.52
2026-07-22 23:52:59.509 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=41565.91
2026-07-22 23:52:59.511 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=41445.87
2026-07-22 23:52:59.513 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=41342.26
2026-07-22 23:52:59.518 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=41345.63
2026-07-22 23:52:59.520 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=41400.55
2026-07-22 23:52:59.522 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=41417.24
2026-07-22 23:52:59.524 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=41293.15
2026-07-22 23:52:59.526 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=41313.07
2026-07-22 23:52:59.528 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=41395.39
2026-07-22 23:52:59.531 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=41493.18
2026-07-22 23:52:59.533 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=41295.37
2026-07-22 23:52:59.535 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=41351.39
2026-07-22 23:52:59.537 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=41372.13
2026-07-22 23:52:59.539 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=41386.14
2026-07-22 23:52:59.541 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=41337.09
2026-07-22 23:52:59.543 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=41443.99
2026-07-22 23:52:59.545 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=41472.34
2026-07-22 23:52:59.547 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=41340.05
2026-07-22 23:52:59.549 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=41477.51
2026-07-22 23:52:59.552 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=41540.01
2026-07-22 23:52:59.554 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=41821.38
2026-07-22 23:52:59.556 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=42090.00
2026-07-22 23:52:59.558 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=42102.57
2026-07-22 23:52:59.560 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=41591.55
2026-07-22 23:52:59.562 | INFO     | src.env.gym_bitcoin:step:402 - ATR Take Profit Triggered | Entry=12216.81 | Current=41549.13
